codigoPrograma;elapsed_ms;len_body;ok;pidm;status
UAC_IMEC_SP1;1641;1021;True;2654627;200
UFC_IIWS_SP1;171;1036;True;659842;200
UAC_ISOF_SP1;1750;1024;True;4437464;200
UFC_ADBF_SP1;1766;1031;True;1340702;200
UFC_INGS_SP1;2141;1034;True;1828430;200
UFC_INGS_SP1;2141;1020;True;853494;200
UFC_CONT_SP1;2172;1010;True;2277119;200
UAC_ISIN_SP1;2532;1026;True;3899141;200
UFC_INGS_SP1;2547;1013;True;3429241;200
UAC_ADNI_SP1;2547;1007;True;4070314;200
UFC_INGC_SP1;2610;1001;True;3038587;200
UFC_AGEM_SP1;2938;1037;True;2117852;200
UFC_ADME_SP1;2954;1032;True;778512;200
UFC_IIWS_SP1;2954;1029;True;3094031;200
UFC_IIWS_SP1;2954;1008;True;3053554;200
UAC_PSIC_SP1;2985;1002;True;1062416;200
UAC_ISIN_SP1;3329;1009;True;4127623;200
UFC_INGI_SP1;3329;1033;True;1585084;200
UAC_REIN_SP1;3344;1009;True;4440521;200
UFC_INGC_SP1;3344;1017;True;4142341;200
UFC_ADHT_SP1;3360;1029;True;2670652;200
